0
1. Climate & Atmosphere (Khí hậu & Khí quyển)**3==D3==D* Biến đổi khí hậu (Climate change)3==D* Khí nhà kính (Greenhouse gases)3==D* Ô nhiễm không khí (Air pollution)3==D* Tầng ozone và chất lượng không khí (Ozone layer, air quality)3==D* Thích ứng & giảm thiểu biến đổi khí hậu (Adaptation & mitigation)	2. Water & Marine Environment (Tài nguyên nước & Môi trường biển)**3==D3==D* Chất lượng nước (Water quality)3==D* Nguồn nước ngọt, sông, hồ, nước ngầm3==D* Ô nhiễm nước (Water pollution)3==D* Đại dương, biển và vùng ven biển (Marine & coastal environment)3==D* Vi nhựa, rác thải biển, sinh vật biển	3. Land, Soil & Agriculture (Đất đai, Đất nông nghiệp & Canh tác)**3==D3==D* Thoái hóa đất, xói mòn, sa mạc hóa3==D* Ô nhiễm đất (Soil contamination)3==D* Quản lý sử dụng đất (Land use management)3==D* Nông nghiệp bền vững, trồng trọt hữu cơ3==D* Phát triển đô thị và môi trường đất	4. Biodiversity & Ecosystems (Đa dạng sinh học & Hệ sinh thái)**3==D3==D* Bảo tồn loài, bảo vệ rừng, động thực vật quý hiếm3==D* Suy thoái hệ sinh thái, mất môi trường sống3==D* Rừng, đồng cỏ, vùng ngập nước3==D* Khôi phục và phục hồi thiên nhiên (Restoration ecology)3==D* Dịch vụ hệ sinh thái (Ecosystem services)	5. Energy & Resources (Năng lượng & Tài nguyên)**3==D3==D* Năng lượng tái tạo (gió, mặt trời, thủy điện, sinh khối)3==D* Hiệu quả năng lượng, tiết kiệm năng lượng3==D* Khai thác tài nguyên (dầu, khí, khoáng sản)3==D* Tiêu thụ năng lượng & phát thải carbon3==D* Nền kinh tế carbon thấp	6. Waste, Pollution & Chemicals (Chất thải, Ô nhiễm & Hóa chất)**3==D3==D* Quản lý rác thải sinh hoạt & công nghiệp3==D* Rác thải nguy hại, chất độc hại3==D* Ô nhiễm tiếng ồn, ánh sáng, nhiệt3==D* Ô nhiễm công nghiệp, kim loại nặng3==D* Quản lý hóa chất & an toàn môi trường	7. Circular Economy & Sustainability (Kinh tế tuần hoàn & Phát triển bền vững)**3==D3==D* Giảm – Tái sử dụng – Tái chế (3R)3==D* Sử dụng tài nguyên hiệu quả (Resource efficiency)3==D* Sản phẩm xanh, tiêu dùng bền vững3==D* Chuỗi cung ứng xanh (Green supply chain)3==D* Mục tiêu phát triển bền vững (SDGs)	8. Environment & Human Health (Môi trường & Sức khỏe con người)**3==D3==D* Ảnh hưởng của ô nhiễm đến sức khỏe3==D* Bệnh liên quan môi trường (ô nhiễm, hóa chất, nước bẩn)3==D* Chất độc, kim loại nặng, thuốc trừ sâu3==D* Tiếng ồn đô thị, ánh sáng nhân tạo3==D* Sức khỏe tinh thần & biến đổi khí hậu3==D	9. Environmental Policy & Governance (Chính sách & Quản trị môi trường)**3==D3==D* Luật và quy định môi trường3==D* Cơ chế quốc tế (COP, IPCC, UNFCCC, SDGs)3==D* Quản trị môi trường (Environmental governance)3==D* Chính sách khí hậu quốc gia & địa phương3==D* Giáo dục & truyền thông môi trường	10. Urban Environment & Green Living (Môi trường đô thị & Lối sống xanh)**3==D3==D* Quy hoạch xanh, thành phố bền vững3==D* Giao thông xanh, giảm phát thải đô thị3==D* Không gian xanh, cây xanh đô thị3==D* Công nghệ xanh, nhà thông minh, tiết kiệm năng lượng3==D* Lối sống xanh, tiêu dùng thân thiện môi trường
Climate Adaptation Strategies	Water Resource Management	Soil Fertility Management	Ecosystem Restoration Plan	Renewable Energy Systems	Waste Management Policy	Circular Economy Framework	Environmental Health Risk	Environmental Governance Framework	Sustainable Urban Development	Not Done
Carbon Footprint Reduction	Marine Biodiversity Protection	Sustainable Land Practices	Biodiversity Index Mapping	Solar Power Development	Industrial Waste Treatment	Resource Recovery Process	Air Pollution and Health	Climate Policy Development	Green Building Design	Not Done
Atmospheric Circulation	Coastal Zone Management	Erosion Control Methods	Wildlife Habitat Conservation	Wind Turbine Efficiency	Recycling Infrastructure	Sustainable Supply Chain	Toxic Exposure Assessment	Sustainable Development Goals Implementation	Urban Air Quality Management	Not Done
Greenhouse Gas Inventory	Freshwater Ecosystems	Organic Farming Systems	Forest Ecosystem Services	Hydroelectric Power Plant	Hazardous Waste Disposal	Green Manufacturing	Chemical Health Impact	Environmental Regulation Compliance	Smart City Innovation	Not Done
Carbon Neutral Goals	Water Conservation Policy	Land Degradation Monitoring	Species Protection Program	Biomass Energy Production	Solid Waste Reduction	Recycling Innovation	Noise Pollution Effects	International Environmental Agreements	Urban Mobility Planning	Not Done
Global Warming Mitigation	Groundwater Recharge	Agricultural Biodiversity	Ecosystem Resilience Study	Geothermal Energy Utilization	Air Pollution Monitoring	Zero Waste Lifestyle	Urban Health Research	Environmental Impact Assessment	Sustainable Transportation Systems	Not Done
Emission Trading Scheme	Ocean Acidification	Soil Moisture Analysis	Endangered Species Management	Clean Energy Transition	Chemical Safety Regulation	Sustainable Business Strategy	Public Health Protection	Environmental Law Enforcement	Green Infrastructure Development	Not Done
Renewable Transition Pathways	Desalination Technology	Urban Agriculture Development	Marine Ecosystem Diversity	Energy Storage Solutions	Noise Pollution Control	Material Reuse Systems	Air Quality and Disease	Green Policy Reform	Urban Waste Management	Not Done
Climate Action Plan	Water Treatment Facility	Land Use Policy	Forest Rehabilitation Project	Low Carbon Technology	Water Contamination Prevention	Eco Design Principles	Environmental Epidemiology	Environmental Strategy Planning	Low Carbon City Planning	Not Done
Sustainable Air Management	River Basin Management	Crop Rotation Benefits	Habitat Fragmentation Analysis	Energy Efficiency Policy	Pollution Mitigation Strategies	Closed Loop Economy	Waterborne Illness Control	Climate Change Legislation	Green Space Expansion	Not Done
Urban Heat Island Effect	Marine Pollution Control	Soil Conservation Techniques	Biodiversity Research Network	Sustainable Resource Use	Toxic Substance Management	Sustainability Metrics	Toxic Substance Exposure	Sustainability Governance	Sustainable Housing Design	Not Done
Temperature Anomalies	Sustainable Fisheries	Sustainable Farming Tools	Ecosystem Productivity	Energy Demand Forecasting	Sustainable Waste Solutions	Waste Valorization	Environmental Medicine	Environmental Monitoring Systems	Urban Heat Island Mitigation	Not Done
Carbon Capture Storage	Ocean Temperature Monitoring	Agroforestry Integration	Habitat Connectivity	Carbon Neutral Energy	Chemical Risk Assessment	Eco Efficiency Assessment	Health Impact Studies	Public Environmental Awareness	Eco Friendly Architecture	Not Done
Climate Change Modeling	Water Scarcity Solutions	Soil pH Monitoring	Wildlife Monitoring System	Hydrogen Energy Research	E Waste Recycling	Green Procurement Policy	Pollution Related Diseases	Environmental Policy Evaluation	Public Transport Sustainability	Not Done
